iter	Passed	Remaining
948	4806	258
949	4810	253
950	4815	248
951	4819	243
952	4824	237
953	4828	232
954	4832	227
955	4836	222
956	4840	217
957	4844	212
958	4849	207
959	4853	202
960	4857	197
961	4862	192
962	4866	186
963	4870	181
964	4874	176
965	4878	171
966	4882	166
967	4886	161
968	4890	156
969	4895	151
970	4899	146
971	4903	141
972	4907	136
973	4912	131
974	4915	126
975	4920	120
976	4925	115
977	4929	110
978	4933	105
979	4938	100
980	4942	95
981	4946	90
982	4951	85
983	4958	80
984	4965	75
985	4970	70
986	4974	65
987	4978	60
988	4983	55
989	4988	50
990	4993	45
991	4997	40
992	5001	35
993	5007	30
994	5011	25
995	5017	20
996	5026	15
997	5035	10
998	5042	5
999	5050	0
